iteration,chain,sigma,Kmat_MPa_m_pred,mu_pred
1,1,46.619,136.659,71.2
2,1,43.8231,106.159,71.2
3,1,44.6758,9.81781,71.2
4,1,33.6387,80.3654,71.2
5,1,35.8882,63.3684,71.2
6,1,33.9998,133.726,71.2
7,1,38.0032,31.6727,71.2
8,1,35.4889,89.5214,71.2
9,1,37.0611,122.83,71.2
10,1,37.4417,52.8938,71.2
11,1,42.1818,72.742,71.2
12,1,37.1297,-5.61071,71.2
13,1,38.7354,43.7412,71.2
14,1,38.7354,43.4899,71.2
15,1,39.085,102.135,71.2
16,1,32.5531,13.4241,71.2
17,1,34.6088,110.423,71.2
18,1,41.8762,60.5781,71.2
19,1,41.6214,66.2983,71.2
20,1,41.6013,129.99,71.2
21,1,38.6367,82.601,71.2
22,1,35.678,43.3737,71.2
23,1,40.5325,96.0684,71.2
24,1,42.1309,36.4967,71.2
25,1,43.9339,88.3252,71.2
26,1,42.8915,40.4967,71.2
27,1,44.4256,6.39471,71.2
28,1,40.4557,38.6534,71.2
29,1,39.2587,98.1595,71.2
30,1,42.5794,116.54,71.2
31,1,43.5869,106.106,71.2
32,1,42.2307,40.227,71.2
33,1,42.5233,60.7585,71.2
34,1,41.8026,55.048,71.2
35,1,41.1107,39.4263,71.2
36,1,41.1107,40.9904,71.2
37,1,39.856,98.8518,71.2
38,1,39.1915,54.6411,71.2
39,1,39.1911,13.789,71.2
40,1,41.8533,50.5034,71.2
41,1,37.8084,71.4288,71.2
42,1,33.5236,70.7697,71.2
43,1,39.2786,82.3688,71.2
44,1,37.28,71.5569,71.2
45,1,39.774,108.855,71.2
46,1,39.7801,28.7368,71.2
47,1,37.3341,104.34,71.2
48,1,37.8555,66.8389,71.2
49,1,36.8715,63.0397,71.2
50,1,36.8218,60.2145,71.2
51,1,38.965,51.7292,71.2
52,1,42.458,60.4552,71.2
53,1,41.4827,67.9275,71.2
54,1,44.3135,51.9219,71.2
55,1,45.4366,56.3069,71.2
56,1,39.6205,25.7512,71.2
57,1,41.0699,51.7461,71.2
58,1,41.2741,123.135,71.2
59,1,43.9109,109.434,71.2
60,1,45.2528,31.9059,71.2
61,1,41.2219,44.0393,71.2
62,1,41.7111,113.919,71.2
63,1,39.4965,43.6697,71.2
64,1,39.5119,131.148,71.2
65,1,44.4535,55.4711,71.2
66,1,42.3795,35.8178,71.2
67,1,43.4406,108.151,71.2
68,1,41.8297,78.9412,71.2
69,1,40.5398,16.6912,71.2
70,1,40.5398,-28.4247,71.2
71,1,41.1278,51.7128,71.2
72,1,39.1218,84.4636,71.2
73,1,37.8689,27.9075,71.2
74,1,36.9803,61.4742,71.2
75,1,38.0124,50.0871,71.2
76,1,38.908,96.6419,71.2
77,1,42.593,94.5846,71.2
78,1,37.2878,83.6987,71.2
79,1,35.6879,-4.34593,71.2
80,1,37.3921,85.0801,71.2
81,1,36.5153,40.3771,71.2
82,1,36.449,97.7038,71.2
83,1,37.2596,49.9224,71.2
84,1,39.1311,78.2777,71.2
85,1,41.917,15.1713,71.2
86,1,40.3681,85.2045,71.2
87,1,41.6578,17.1915,71.2
88,1,51.8139,-50.9602,71.2
89,1,47.4413,113.907,71.2
90,1,51.1327,138.337,71.2
91,1,47.8877,12.3692,71.2
92,1,34.8062,74.1873,71.2
93,1,42.1615,158.005,71.2
94,1,38.0548,-31.9199,71.2
95,1,38.5926,66.9265,71.2
96,1,40.5904,35.0683,71.2
97,1,40.0853,146.538,71.2
98,1,38.4917,18.9207,71.2
99,1,38.1723,120.061,71.2
100,1,39.1421,-2.06189,71.2
101,1,42.9637,121.997,71.2
102,1,43.4511,93.7325,71.2
103,1,42.0023,38.854,71.2
104,1,42.0023,24.8493,71.2
105,1,39.9098,60.2726,71.2
106,1,39.1348,50.4107,71.2
107,1,34.2761,66.7029,71.2
108,1,39.4474,43.2717,71.2
109,1,41.1989,111.347,71.2
110,1,39.2134,69.2147,71.2
111,1,37.4972,113.723,71.2
112,1,40.6419,83.5651,71.2
113,1,40.603,13.9002,71.2
114,1,40.0016,-10.774,71.2
115,1,44.5036,60.0124,71.2
116,1,38.0854,82.0608,71.2
117,1,41.9088,56.3564,71.2
118,1,42.8968,55.6204,71.2
119,1,39.9685,117.776,71.2
120,1,42.3363,131.497,71.2
121,1,37.4751,11.0123,71.2
122,1,36.3116,36.1518,71.2
123,1,37.563,108.042,71.2
124,1,37.4189,34.1538,71.2
125,1,37.6592,41.4335,71.2
126,1,35.8935,125.613,71.2
127,1,40.2747,35.9246,71.2
128,1,43.398,57.8857,71.2
129,1,44.2701,-30.0652,71.2
130,1,44.3822,101.892,71.2
131,1,42.7287,143.754,71.2
132,1,43.2392,103.393,71.2
133,1,44.5087,145.999,71.2
134,1,43.1107,92.4026,71.2
135,1,39.2546,76.943,71.2
136,1,34.5452,76.606,71.2
137,1,35.3946,61.6226,71.2
138,1,36.0663,53.8238,71.2
139,1,37.4405,210.187,71.2
140,1,38.1822,55.7234,71.2
141,1,37.8484,47.6636,71.2
142,1,42.7066,51.2285,71.2
143,1,39.4904,97.7537,71.2
144,1,39.4775,87.0378,71.2
145,1,36.3584,67.2746,71.2
146,1,37.0796,146.225,71.2
147,1,37.676,27.6914,71.2
148,1,41.6809,135.29,71.2
149,1,35.1216,73.0723,71.2
150,1,34.1058,99.2509,71.2
151,1,41.4997,108.158,71.2
152,1,45.6305,118.88,71.2
153,1,40.6804,89.0497,71.2
154,1,42.5239,78.568,71.2
155,1,44.1462,71.262,71.2
156,1,46.3834,59.1301,71.2
157,1,45.9731,61.4716,71.2
158,1,48.5013,156.114,71.2
159,1,46.3769,20.0908,71.2
160,1,40.9912,90.2892,71.2
161,1,40.5796,53.6274,71.2
162,1,41.2056,-14.793,71.2
163,1,40.24,72.5128,71.2
164,1,40.3946,-16.4797,71.2
165,1,40.0499,39.9881,71.2
166,1,41.4262,77.028,71.2
167,1,40.4601,143.458,71.2
168,1,38.5785,87.2207,71.2
169,1,34.8781,61.5925,71.2
170,1,36.4691,79.4383,71.2
171,1,37.0707,67.3141,71.2
172,1,42.7069,66.1767,71.2
173,1,44.347,120.457,71.2
174,1,42.1897,38.6544,71.2
175,1,37.2948,40.7233,71.2
176,1,35.8709,61.9937,71.2
177,1,36.0645,109.672,71.2
178,1,37.5395,-14.7321,71.2
179,1,37.6145,68.702,71.2
180,1,39.9216,32.5942,71.2
181,1,39.0882,52.8021,71.2
182,1,39.4835,136.947,71.2
183,1,36.5823,87.1642,71.2
184,1,36.5823,63.9176,71.2
185,1,35.5882,77.7307,71.2
186,1,37.0212,67.195,71.2
187,1,37.7353,107.087,71.2
188,1,36.5389,43.1273,71.2
189,1,43.0428,9.56513,71.2
190,1,42.2318,101.784,71.2
191,1,39.2899,63.2171,71.2
192,1,39.9214,37.4861,71.2
193,1,43.1352,46.8012,71.2
194,1,38.905,58.3,71.2
195,1,37.7934,106.083,71.2
196,1,38.1575,32.7304,71.2
197,1,40.9124,61.6338,71.2
198,1,41.3677,42.5271,71.2
199,1,37.7475,82.8848,71.2
200,1,41.4535,16.4642,71.2
201,1,44.3518,202.445,71.2
202,1,41.2259,118.974,71.2
203,1,40.5788,108.895,71.2
204,1,46.02,33.8434,71.2
205,1,44.4466,102.848,71.2
206,1,44.9279,89.8457,71.2
207,1,47.1729,117.032,71.2
208,1,40.7951,18.0221,71.2
209,1,39.7116,51.7841,71.2
210,1,41.1273,32.2341,71.2
211,1,42.1371,94.0336,71.2
212,1,42.1657,81.2711,71.2
213,1,39.5838,29.7327,71.2
214,1,37.6322,98.8846,71.2
215,1,42.0259,95.5343,71.2
216,1,34.639,29.6518,71.2
217,1,35.8978,128.904,71.2
218,1,39.0065,60.6165,71.2
219,1,35.3616,77.1649,71.2
220,1,44.5929,82.4545,71.2
221,1,43.2625,92.2376,71.2
222,1,39.9054,128.663,71.2
223,1,37.9612,90.1666,71.2
224,1,41.3404,75.2861,71.2
225,1,39.4684,69.2348,71.2
226,1,39.5504,41.0443,71.2
227,1,40.2973,-13.7637,71.2
228,1,38.7332,30.4843,71.2
229,1,38.3467,41.5434,71.2
230,1,41.0457,109.581,71.2
231,1,43.7539,42.6123,71.2
232,1,36.519,62.8536,71.2
233,1,41.5735,64.1327,71.2
234,1,36.1882,52.1728,71.2
235,1,36.1052,7.20863,71.2
236,1,40.7995,93.6448,71.2
237,1,40.9322,19.0415,71.2
238,1,38.8916,56.195,71.2
239,1,38.8159,20.4658,71.2
240,1,38.7344,18.281,71.2
241,1,38.3544,35.5128,71.2
242,1,43.2061,26.0268,71.2
243,1,39.6207,83.2512,71.2
244,1,39.6207,101.843,71.2
245,1,39.4238,79.1132,71.2
246,1,40.668,36.3118,71.2
247,1,45.3313,-7.04064,71.2
248,1,41.9434,77.5907,71.2
249,1,42.9952,152.929,71.2
250,1,44.8189,29.0046,71.2
1,2,35.0471,44.7909,71.2
2,2,35.7797,79.5932,71.2
3,2,34.4747,103.962,71.2
4,2,37.0028,56.8713,71.2
5,2,37.7805,120.338,71.2
6,2,37.8498,111.107,71.2
7,2,36.0315,31.1045,71.2
8,2,36.6877,59.6711,71.2
9,2,43.0585,62.059,71.2
10,2,42.9596,20.0524,71.2
11,2,48.0873,143.486,71.2
12,2,47.9906,130.6,71.2
13,2,44.2287,60.344,71.2
14,2,44.7092,116.47,71.2
15,2,39.596,55.9511,71.2
16,2,39.6034,32.8851,71.2
17,2,40.5149,119.919,71.2
18,2,36.7171,131.365,71.2
19,2,38.0119,47.7563,71.2
20,2,39.4928,8.48513,71.2
21,2,40.8835,34.2114,71.2
22,2,42.0485,92.1152,71.2
23,2,40.2966,17.0337,71.2
24,2,38.9658,-16.0806,71.2
25,2,42.668,74.3613,71.2
26,2,44.2447,79.0453,71.2
27,2,39.2656,23.1596,71.2
28,2,39.2656,62.7624,71.2
29,2,42.0181,105.763,71.2
30,2,39.4762,87.7917,71.2
31,2,37.1437,53.724,71.2
32,2,38.1024,110.188,71.2
33,2,40.7061,42.8277,71.2
34,2,39.2689,84.2694,71.2
35,2,42.924,33.2091,71.2
36,2,38.8044,116.848,71.2
37,2,39.079,29.2491,71.2
38,2,43.8915,54.5998,71.2
39,2,42.6564,78.5769,71.2
40,2,40.7018,123.94,71.2
41,2,40.8361,83.3593,71.2
42,2,40.3654,116.389,71.2
43,2,38.8469,74.8733,71.2
44,2,39.2234,35.9246,71.2
45,2,50.1739,13.7133,71.2
46,2,45.1057,131.481,71.2
47,2,45.1057,126.35,71.2
48,2,34.495,82.1452,71.2
49,2,35.1451,120.273,71.2
50,2,41.3149,35.1433,71.2
51,2,35.6911,114.236,71.2
52,2,38.7573,56.9541,71.2
53,2,42.9927,-0.749496,71.2
54,2,44.0882,70.4903,71.2
55,2,47.3166,111.777,71.2
56,2,46.4556,37.9873,71.2
57,2,46.5517,73.897,71.2
58,2,44.6947,65.0821,71.2
59,2,41.0718,14.8506,71.2
60,2,45.1623,-5.74832,71.2
61,2,43.2481,115.632,71.2
62,2,37.9925,46.2176,71.2
63,2,36.4477,34.3698,71.2
64,2,33.7307,61.5794,71.2
65,2,36.9868,93.4806,71.2
66,2,37.8118,79.3022,71.2
67,2,39.6215,145.466,71.2
68,2,39.8756,95.6456,71.2
69,2,40.1497,148.469,71.2
70,2,39.9314,149.938,71.2
71,2,42.0298,78.1279,71.2
72,2,42.0298,92.6238,71.2
73,2,43.6317,57.0795,71.2
74,2,43.4404,53.8126,71.2
75,2,34.9093,46.9943,71.2
76,2,34.9093,28.898,71.2
77,2,37.0909,104.335,71.2
78,2,39.9871,79.2124,71.2
79,2,39.7031,46.3945,71.2
80,2,40.5333,30.723,71.2
81,2,38.4563,45.0943,71.2
82,2,40.1539,62.2656,71.2
83,2,39.4439,8.15118,71.2
84,2,35.2251,87.7428,71.2
85,2,34.7598,38.8288,71.2
86,2,35.3268,90.3348,71.2
87,2,36.0878,138.269,71.2
88,2,37.1192,150.908,71.2
89,2,36.4062,102.23,71.2
90,2,31.7274,81.0411,71.2
91,2,36.6342,39.6755,71.2
92,2,41.3683,115.02,71.2
93,2,41.3683,13.1519,71.2
94,2,42.0414,92.8886,71.2
95,2,36.7722,142.5,71.2
96,2,35.7355,66.619,71.2
97,2,37.9265,20.5335,71.2
98,2,37.9007,8.68295,71.2
99,2,41.5952,5.23525,71.2
100,2,42.0347,85.6559,71.2
101,2,43.364,45.2144,71.2
102,2,43.364,14.0632,71.2
103,2,46.5941,78.9605,71.2
104,2,44.9466,67.5025,71.2
105,2,39.5122,137.766,71.2
106,2,39.9446,37.0745,71.2
107,2,42.4245,113.826,71.2
108,2,47.3621,147.348,71.2
109,2,39.9921,57.5846,71.2
110,2,37.5437,113.204,71.2
111,2,37.0594,101.855,71.2
112,2,37.0594,57.8622,71.2
113,2,37.8871,66.1218,71.2
114,2,37.8871,116.963,71.2
115,2,37.8871,98.573,71.2
116,2,36.1328,-23.1113,71.2
117,2,42.8258,80.8902,71.2
118,2,41.1351,88.2448,71.2
119,2,39.5349,-40.825,71.2
120,2,41.2648,113.099,71.2
121,2,38.0177,33.0984,71.2
122,2,36.3352,137.488,71.2
123,2,38.9069,178.408,71.2
124,2,44.1338,110.146,71.2
125,2,48.9151,77.9515,71.2
126,2,36.428,80.8379,71.2
127,2,36.428,36.9074,71.2
128,2,40.6243,35.9478,71.2
129,2,41.2102,8.84133,71.2
130,2,39.3349,84.7186,71.2
131,2,37.6036,7.83937,71.2
132,2,43.3021,61.5377,71.2
133,2,40.412,15.1772,71.2
134,2,40.4638,43.5056,71.2
135,2,36.407,87.8342,71.2
136,2,32.011,63.5192,71.2
137,2,34.4827,49.5966,71.2
138,2,34.4827,43.004,71.2
139,2,41.5354,25.0097,71.2
140,2,37.7894,88.2811,71.2
141,2,32.4318,103.599,71.2
142,2,39.2421,-8.74631,71.2
143,2,42.0881,38.0052,71.2
144,2,37.5942,49.995,71.2
145,2,40.2966,28.7493,71.2
146,2,39.9912,112.855,71.2
147,2,40.2526,57.9001,71.2
148,2,35.0761,73.1427,71.2
149,2,37.2557,48.8448,71.2
150,2,36.9612,91.409,71.2
151,2,34.367,72.7268,71.2
152,2,34.7906,51.182,71.2
153,2,35.3711,32.7335,71.2
154,2,36.7313,64.5028,71.2
155,2,42.3297,24.7903,71.2
156,2,38.3759,52.9156,71.2
157,2,41.9482,-12.4204,71.2
158,2,40.866,161.505,71.2
159,2,40.866,137.049,71.2
160,2,36.9923,81.2098,71.2
161,2,39.4299,72.0647,71.2
162,2,39.712,98.5689,71.2
163,2,40.793,85.0614,71.2
164,2,41.8073,98.4798,71.2
165,2,35.8693,53.3709,71.2
166,2,37.6704,30.9078,71.2
167,2,39.7805,143.896,71.2
168,2,40.3514,19.2088,71.2
169,2,40.7102,90.5926,71.2
170,2,44.2165,121.992,71.2
171,2,45.3103,47.7556,71.2
172,2,47.6721,96.4246,71.2
173,2,45.0068,63.7909,71.2
174,2,43.3665,5.83206,71.2
175,2,41.9178,49.6107,71.2
176,2,39.8457,62.4991,71.2
177,2,37.715,88.3664,71.2
178,2,37.7025,133.049,71.2
179,2,41.411,39.1716,71.2
180,2,40.434,112.621,71.2
181,2,45.8713,8.84329,71.2
182,2,38.3635,62.5822,71.2
183,2,37.8169,10.5963,71.2
184,2,41.157,16.9447,71.2
185,2,38.2703,46.8936,71.2
186,2,42.5463,177.624,71.2
187,2,34.8173,74.3841,71.2
188,2,37.1201,104.925,71.2
189,2,33.2,61.2861,71.2
190,2,35.9079,46.6752,71.2
191,2,35.5733,20.7941,71.2
192,2,36.605,68.6502,71.2
193,2,36.8537,56.7508,71.2
194,2,32.4077,73.3381,71.2
195,2,33.6591,46.6441,71.2
196,2,36.4938,41.8695,71.2
197,2,43.6748,28.423,71.2
198,2,43.4975,129.873,71.2
199,2,40.979,82.7402,71.2
200,2,40.2326,15.6163,71.2
201,2,40.8588,40.8612,71.2
202,2,41.7872,20.8298,71.2
203,2,42.6653,-3.43636,71.2
204,2,44.6657,87.3473,71.2
205,2,48.2518,57.0673,71.2
206,2,40.4104,38.1439,71.2
207,2,40.4104,59.8376,71.2
208,2,38.0266,75.9596,71.2
209,2,48.215,61.8843,71.2
210,2,42.3996,100.834,71.2
211,2,42.828,100.416,71.2
212,2,42.7035,50.0883,71.2
213,2,47.1003,0.827872,71.2
214,2,46.6391,88.1028,71.2
215,2,45.6705,65.1881,71.2
216,2,43.466,111.013,71.2
217,2,38.2529,72.1042,71.2
218,2,38.9666,18.2303,71.2
219,2,39.0037,137.697,71.2
220,2,34.868,29.8371,71.2
221,2,35.2469,134.379,71.2
222,2,35.2469,39.2541,71.2
223,2,41.6783,113.669,71.2
224,2,42.435,106.879,71.2
225,2,44.2357,85.5748,71.2
226,2,42.3496,73.1944,71.2
227,2,44.5776,62.0268,71.2
228,2,38.765,28.5194,71.2
229,2,38.4121,70.4457,71.2
230,2,38.9845,53.9236,71.2
231,2,38.0013,97.5443,71.2
232,2,39.5099,81.8405,71.2
233,2,34.8024,85.3425,71.2
234,2,37.449,88.6958,71.2
235,2,41.5477,153.814,71.2
236,2,36.5262,73.448,71.2
237,2,46.1544,35.5893,71.2
238,2,37.0316,77.2443,71.2
239,2,37.0316,79.2429,71.2
240,2,35.8308,132.092,71.2
241,2,39.8553,62.3628,71.2
242,2,37.8139,119.706,71.2
243,2,39.2946,98.6029,71.2
244,2,41.3181,87.4362,71.2
245,2,38.2043,130.53,71.2
246,2,42.6701,31.8376,71.2
247,2,41.4594,49.8745,71.2
248,2,39.6126,60.2285,71.2
249,2,40.3821,7.52708,71.2
